City,Zip,NABE,Lat,Long,MEDINC,P_WHITE,P_BLACK,P_HISP,P_ASIAN,P_OTHERS,P_Other
Philadelphia,19140,"Hunting Park, Tioga, Nicetown",40.017723,-75.14939,21665,3%,52%,42%,1%,2%,97%
Philadelphia,19140,"Hunting Park, Tioga, Nicetown",40.002918,-75.152965,21665,3%,52%,42%,1%,2%,97%
Philadelphia,19142,"West Philadelphia, Elmwood",39.929867,-75.22822,30431,6%,84%,3%,6%,1%,94%
Philadelphia,19143,Kingsessing,39.948128,-75.22149,33351,12%,79%,4%,2%,3%,88%
Philadelphia,19144,Germantown,40.033259,-75.177865,33786,16%,75%,4%,2%,3%,84%
Philadelphia,19144,Germantown,40.03037,-75.1657,33786,16%,75%,4%,2%,3%,84%
Philadelphia,19145,South Philadelphia West,39.9198,-75.18821,42009,48%,30%,6%,13%,2%,52%
Philadelphia,19146,"Southwest Center City, Point Breeze, Grays Ferry",39.93956,-75.18051,63524,45%,43%,5%,4%,4%,55%
Philadelphia,19146,"Southwest Center City, Point Breeze, Grays Ferry",39.94559,-75.18106,63524,45%,43%,5%,4%,4%,55%
Philadelphia,19146,"Southwest Center City, Point Breeze, Grays Ferry",39.937726,-75.167021,63524,45%,43%,5%,4%,4%,55%
Philadelphia,19146,"Southwest Center City, Point Breeze, Grays Ferry",39.933903,-75.180115,63524,45%,43%,5%,4%,4%,55%
Philadelphia,19147,"Bella Vista, Queen Village",39.942257,-75.154366,77695,66%,9%,9%,13%,3%,34%
Philadelphia,19147,"Bella Vista, Queen Village",39.9341,-75.16207,77695,66%,9%,9%,13%,3%,34%
Philadelphia,19148,South Philadelphia East,39.92113,-75.1417,52584,56%,5%,14%,22%,3%,44%
Philadelphia,19148,South Philadelphia East,39.911938,-75.15051,52584,56%,5%,14%,22%,3%,44%
Philadelphia,19149,"Oxford Circle, Mayfair",40.049698,-75.063354,45126,34%,24%,22%,15%,4%,66%
Philadelphia,19149,"Oxford Circle, Mayfair",40.0349,-75.065499,45126,34%,24%,22%,15%,4%,66%
Philadelphia,19149,"Oxford Circle, Mayfair",40.037483,-75.042114,45126,34%,24%,22%,15%,4%,66%
Philadelphia,19151,Overbrook,39.977297,-75.273268,48369,6%,87%,4%,1%,2%,94%
Philadelphia,19152,Rhawnhurst,40.059544,-75.044395,52696,53%,15%,13%,15%,4%,47%
Philadelphia,19153,"Eastwick, Southwest Philadelphia",39.902633,-75.24045,42418,12%,73%,7%,4%,4%,88%
Philadelphia,19154,"Northeast Philadelphia, Parkwood Manor",40.08202,-74.96099,65082,78%,8%,8%,4%,1%,22%
